id,validated,included_in_stats,publication_type,publication_format,publication_year,authors,title,journal_name,volume,issue,pages,doi,url,book_title,book_authors,book_publisher,pdf_present,mesophotic,mce,tme,original_data,new_species,min_depth,max_depth,fields,focusgroups,platforms,locations
298,TRUE,TRUE,scientific,article,2016,"Smith TB, Brandtneris VW, Canals M, Brandt ME, Martens J, Brewer RS, Kadison E, Kammann M, Keller J, Holstein DM",Potential structuring forces on a shelf edge upper Mesophotic Coral Ecosystem in the US Virgin Islands,Front Mar Sci,3,,115,10.3389/fmars.2016.00115,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,27,43,Community structure,Scleractinia (Hard Corals); Overall benthic (groups),SCUBA (open-circuit or unspecified),US Virgin Islands; Puerto Rico
299,TRUE,TRUE,scientific,article,2016,"Veazey​ LM, Franklin EC, Kelley C, Rooney​ J, Frazer LN, Toonen RJ",The implementation of rare events logistic regression to predict the distribution of mesophotic hard corals across the main Hawaiian Islands,PeerJ,4,,e2189,10.7717/peerj.2189,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,30,180,Community structure; Ecology; Geomorphology,Overall benthic (groups); Scleractinia (Hard Corals),Remotely Operated Vehicle (ROV); Manned Submersible; Autonomous Underwater Vehicle (AUV),USA - Hawaii
300,TRUE,TRUE,scientific,article,2016,"Fukunaga A, Kosaki RK, Wagner D, Kane C",Structure of mesophotic reef fish assemblages in the northwestern Hawaiian Islands,PLoS ONE,11,7,e0157861,10.1371/journal.pone.0157861,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,67,Biodiversity; Community structure,Fishes,Sonar / Multibeam; SCUBA (open-circuit or unspecified),USA - Hawaii
301,TRUE,TRUE,scientific,article,2016,"Hernandez-Agreda A, Leggat W, Bongaerts P, Ainsworth TD",The Microbial Signature Provides Insight into the Mechanistic Basis of Coral Success across Reef Habitats,mBio,7,4,e00560-16,10.1128/mBio.00560-16,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,10,80,Biodiversity; Molecular ecology,Scleractinia (Hard Corals); Bacteria and Archaea,Remotely Operated Vehicle (ROV); SCUBA (open-circuit or unspecified),Australia - Coral Sea; Australia - Great Barrier Reef
302,TRUE,TRUE,scientific,article,2016,"Baldwin CC, Pitassy DE, Robertson DR","A new deep-reef scorpionfish (Teleostei, Scorpaenidae, Scorpaenodes) from the southern Caribbean with comments on depth distributions and relationships of western Atlantic members of the genus",Zookeys,606,,141-158,10.3897/zookeys.606.8590 ,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,95,160,Biodiversity; Molecular ecology; Taxonomy,Fishes,Manned Submersible,Curaçao
303,TRUE,TRUE,scientific,article,2016,"Lane DJW, Hoeksema BW",Mesophotic mushroom coral records at Brunei Darussalam support westward extension of the Coral Triangle to the South China Sea waters of Northwest Borneo,Raffles Bull Zool,64,,204-212,,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,32,40,Biodiversity,Scleractinia (Hard Corals),SCUBA (open-circuit or unspecified),Brunei
304,TRUE,TRUE,scientific,article,2016,"Goldstein ED, D’Alessandro EK, Sponaugle S",Demographic and reproductive plasticity across the depth distribution of a coral reef fish,Sci Rep,6,,34077,10.1038/srep34077,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,0,70,Ecology; Community structure; Reproduction,Fishes,SCUBA (open-circuit or unspecified); Remotely Operated Vehicle (ROV),USA - Pulley Ridge
306,TRUE,TRUE,scientific,article,2016,"Pyle​ RL, Boland R, Bolick H, Bowen BW, Bradley CJ, Kane C, Kosaki RK, Langston R, Longenecker K, Montgomery A, Parrish FA, Popp BN, Rooney​ J, Smith CM, Wagner D, Spalding HL",A comprehensive investigation of mesophotic coral ecosystems in the Hawaiian Archipelago,PeerJ,4,,e2475,10.7717/peerj.2475,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,10,210,Biodiversity; Ecology; Community structure; Oceanography; Connectivity; Management and Conservation; Physiology,"Fishes; Scleractinia (Hard Corals); Overall benthic (groups); Octocorallia (Soft Corals); Algae (Macro, Turf and Crustose Coralline); Other invertebrates",Remotely Operated Vehicle (ROV); Rebreather; Manned Submersible; Drop / Towed Video; Sonar / Multibeam; SCUBA (open-circuit or unspecified); In-situ instrumentation; Surface-deployed sensors and samplers,USA - Hawaii
307,TRUE,TRUE,scientific,article,2016,"Anderson WD, Greene BD, Rocha LA","Grammatonotus brianne, a new callanthiid fish from Philippine waters, with short accounts of two other Grammatonotus from the Coral Triangle",Zootaxa,4173,3,289-295,10.11646/zootaxa.4173.3.7,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,150,150,Taxonomy,Fishes,Rebreather,Philippines
308,TRUE,TRUE,scientific,article,2016,"Eibinder S, Gruber DF, Salomon E, Liran O, Keren N, Tchernov D","Novel adaptive photosynthetic characteristics of mesophotic symbiotic microalgae within the reef-building coral, Stylophora pistillata",Front Mar Sci,3,195,,10.3389/fmars.2016.00195,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,3,65,Physiology; Ecology; Long-term monitoring,Scleractinia (Hard Corals); Symbiodinium (zooxanthellae),Rebreather,Israel - Red Sea
309,TRUE,TRUE,scientific,article,2015,"Ben-Zvi O, Eyal G, Loya Y",Light-dependent fluorescence in the coral Galaxea fascicularis,Hydrobiologia,759,1,15-26,10.1007/s10750-014-2063-6,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,3,50,Ecology; Physiology,Scleractinia (Hard Corals); Symbiodinium (zooxanthellae),Land-based; SCUBA (open-circuit or unspecified),Israel - Red Sea
310,TRUE,TRUE,scientific,article,2016,"Linklater M, Carroll AG, Hamylton SM, Jordan AR, Brooke BP, Nichol SL, Woodroffe CD","High coral cover on a mesophotic, subtropical island platform at the limits of coral reef growth",Cont Shelf Res,130,,34-46,10.1016/j.csr.2016.10.003,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,30,115,Biodiversity; Community structure; Geomorphology,Scleractinia (Hard Corals); Overall benthic (groups),Drop / Towed Video,Australia - Southeastern Australia
311,TRUE,TRUE,scientific,article,2016,"Weinstein DK, Sharifi A, Klaus JS, Smith TB, Giri SJ, Helmle KP","Coral growth, bioerosion, and secondary accretion of living orbicellid corals from mesophotic reefs in the US Virgin Islands",Mar Ecol Prog Ser,559,,45-63,10.3354/meps11883,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,30,43,Geomorphology; Physiology,Scleractinia (Hard Corals),SCUBA (open-circuit or unspecified),US Virgin Islands; Puerto Rico
312,TRUE,FALSE,popular,article,2015,"Weinstein DK, Klaus JS, McNeill DF",Syndepositional cementation in the reef Twilight Zone,,,,,,http://coralreefs.org/wp-content/uploads/2015/10/REEF-ENCOUNTER-42-Sept-2015-LR.pdf,,,Reef Encounter,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,30,45,Geomorphology,Scleractinia (Hard Corals),SCUBA (open-circuit or unspecified),US Virgin Islands
314,TRUE,TRUE,scientific,article,2017,"Andradi-Brown DA, Vermeij MJA, Slattery M, Lesser M, Bejarano I, Appeldoorn R, Goodbody-Gringley G, Chequer AD, Pitt JM, Eddy C, Smith SR, Brokovich E, Pinheiro HT, Jessup ME, Shepherd B, Rocha LA, Curtis-Quick J, Eyal G, Noyes TJ, Rogers AD, Exton DA",Large-scale invasion of western Atlantic mesophotic reefs by lionfish potentially undermines culling-based management,Biol Invasions,19,3,939–954,10.1007/s10530-016-1358-0,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,0,150,Biodiversity; Ecology; Fisheries; Management and Conservation; Connectivity,Fishes,SCUBA (open-circuit or unspecified),Honduras - Bay Islands; Bahamas; Bermuda; Curaçao; Israel - Red Sea; Puerto Rico; Cayman Islands; Micronesia - Chuuk atoll; Philippines
315,TRUE,TRUE,scientific,article,2016,"MacDonald C, Bridge TCL, Jones GP","Depth, bay position and habitat structure as determinants of coral reef fish distributions: Are deep reefs a potential refuge?",Mar Ecol Prog Ser,561,,217-231,10.3354/meps11953,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,0,40,Biodiversity; Ecology; Community structure,Fishes,SCUBA (open-circuit or unspecified),Papua New Guinea
316,TRUE,TRUE,scientific,article,2016,"Andradi-Brown DA, Macaya-Solis C, Exton DA, Gress E, Wright G, Rogers AD",Assessing Caribbean shallow and mesophotic reef fish communities using Baited-Remote Underwater Video (BRUV) and Diver-Operated Video (DOV) Survey Techniques,PLoS ONE,11,12,e0168235,10.1371/journal.pone.0168235,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,5,55,Biodiversity; Community structure; Ecology,Fishes,Rebreather; Baited Remote Underwater Video (BRUV); SCUBA (open-circuit or unspecified),Honduras - Bay Islands
317,TRUE,TRUE,scientific,article,2017,"Semmler RF, Hoot WC, Reaka ML",Are mesophotic coral ecosystems distinct communities and can they serve as refugia for shallow reefs?,Coral Reefs,36,2,433–444,10.1007/s00338-016-1530-0,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,0,300,Biodiversity; Community structure,Fishes; Overall benthic (groups); Crustacea; Other invertebrates; Protists (non-Symbiodiniaceae),,Cuba; USA - Pulley Ridge; USA - Gulf of Mexico; USA - Continental Pacific Ocean
318,TRUE,TRUE,scientific,article,2017,"Shoham E, Benayahu Y",Higher species richness of octocorals in the upper mesophotic zone in Eilat (Gulf of Aqaba) compared to shallower reef zones,Coral Reefs,36,1,71-81,10.1007/s00338-016-1528-7,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,45,Biodiversity; Ecology; Community structure,Octocorallia (Soft Corals),SCUBA (open-circuit or unspecified),Israel - Red Sea
319,TRUE,TRUE,scientific,article,2017,"Andradi-Brown DA, Head CEI, Exton DA, Hunt CL, Hendrix A, Gress E, Rogers AD","Identifying zooplankton community changes between shallow and upper-mesophotic reefs on the Mesoamerican Barrier Reef, Caribbean",PeerJ,5,,e2853,10.7717/peerj.2853,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,15,40,Biodiversity; Ecology; Community structure,Crustacea; Other invertebrates,SCUBA (open-circuit or unspecified),Honduras - Bay Islands
