Id,Description,Created at,Updated at,Latitude,Longitude,Short description,Site name [Sites],Latitude [Sites],Longitude [Sites],SOVEREIGN1,TERRITORY1,Notes
24,Costa Rica - Pacific Ocean,2016-06-17 7:12,2017-05-24 4:11,9.033951,-84.534302, - ,,,,Costa Rica ,Costa Rica ,
25,Cuba,2016-06-17 7:12,2016-06-17 7:12,21.5218,-77.781167, - ,Bay of Matanzas,23,-80.667,Cuba,Cuba,
26,Curaçao,2016-06-17 7:12,2016-06-17 7:12,12.16957,-68.99002, - ,"Buoy 2,Buoy 1,Unnamed site,Buoy 0,Carmabi Study Area,Unnamed site,Buoy 0/1,Seaquarium reef,Unnamed site,Unnamed site,Unnamed site,Playa Forti","12.13,12.083,12.0,12.117,12.119,12.084,12.125,12.084,12.17,12.126,12.13,12.083","-68.976,-69.0,-69.0,-69.95,-68.97,-68.898,-68.974,-68.898,-68.99,-68.974,-68.983,-68.899",Netherlands,Curacao,
27,Fiji,2016-06-17 7:12,2016-06-17 7:12,-17.713371,178.065032, - ,,,,Fiji,Fiji,
28,French Polynesia,2016-06-17 7:12,2016-06-17 7:12,-17.679742,-149.406843, - ,"Takapoto atoll,Moorea","-14.667,-17.5","-145.167,-149.833",France,French Polynesia,
29,Ecuador - Galápagos Islands,2016-06-17 7:12,2017-05-24 4:13,-0.829278,-90.982067, - ,"Unnamed site,Unnamed site,Unnamed site,Unnamed site","0.583,-1.5,0.583,-1.5","-91.583,-89.417,-89.417,-91.583",Ecuador ,Galapagos Islands,
30,Grenada,2016-06-17 7:12,2016-06-17 7:12,12.117,-61.679, - ,Unnamed site,12.117,-61.679,Grenada,Grenada,
31,Guadeloupe,2016-06-17 7:12,2016-06-17 7:12,16.265,-61.551, - ,Unnamed site,16.265,-61.551,France,Guadeloupe,
32,Micronesia - Guam,2016-06-17 7:12,2017-05-24 4:18,13.444304,144.793731, - ,"Tumon Bay,Achang","13.5,13.217","144.783,144.717",USA,Guam,
33,USA - Hawaii,2016-06-17 7:12,2017-05-24 4:14,19.896766,-155.582782, - ,"Au'au Channel,Au'au Channel,Au'au Channel,Au'au Channel,Au'au Channel,Unnamed site,Au’au Channel,Au’au Channel,Maui,Maui,Kaua'I,Maui,Ni'ihau,Kaua'i,Maui,Kaua'I,Laysan,O'ahu,O'ahu,Kaua'I,Kaua'i,Kaua'i,Kaua'i,Maui,Necker,Ni'ihau,Nihoa,South Oahu,Au'au Channel,Pearl and Hermes Atoll,Southeastern Maui,Ni‘ihau,Necker,Laysan,Pearl and Hermes,Midway,Kure,Keahole Point,Cross Seamount,Au'au Channel,Au'au Channel,Au'au Channel,Au'au Channel,French Frigate Shoals,Midway Atoll,Kure Atoll,O'ahu,Lisianski,Laysan,Gardner Pinnacles,Ni‘ihau,Kauai,Oahu,Maui,Hawaii,Unnamed site,Au'au Channel,North-West Hawaiian Islands,Penguin Bank, Molokaii,Au'au Channel,French Frigate Shoals,Penguin Bank, Molokaii,Kure Atoll,Pearl and Hermes Atoll,Maro Reef,Laysan Island,Lisianski Island,Kure Atoll","20.797,20.95,20.942,20.814,20.856,19.896766,20.983,20.733,20.94,20.879,21.928,20.794,22.03,21.856,20.95,21.887,25.726,21.28,21.259,21.889,21.887,21.889,21.907,20.735,23.491,21.823,22.739,21.261,21.043,27.9,20.607,22.0,23.634,25.715,27.763,28.5,28.0,19.801,18.731,20.758,20.78,20.767,20.758,23.25,28.5,28.0,21.269,25.715,25.715,25.033,21.85,21.928,21.85,20.896,19.897,20.883,20.95,23.564,21.212,20.766,24.048,21.0,28.667,27.764,25.719,25.726,25.715,28.4918","-156.717,-156.75,-156.757,-156.711,-156.731,-155.582782,-156.633,-156.858,-156.762,-156.746,-159.661,-156.718,-160.102,-159.433,-156.753,-159.602,-171.824,-157.86,-157.709,-159.583,-159.602,-159.583,-159.629,-156.655,-164.754,-160.11,-161.172,-157.838,-157.184,-175.9,-155.926,-160.0,-164.741,-171.813,-175.984,-177.5,-178.0,-156.129,-158.26,-156.575,-156.673,-156.683,-156.683,-166.917,-177.5,-178.0,-157.981,-173.833,-172.5,-168.0,-160.0,-159.661,-157.838,-156.741,-156.758,-156.7,-156.766,-163.455,-157.355,-156.67,-166.327,-157.5,-178.5,-175.985,-170.016,-171.824,-173.833,-178.2879",USA ,Hawaii,
